City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Arraial Do Cabo,BR,2023-01-19 22:04:34,-22.9661,-42.0278,76.86,83,40,17.27
67,Puerto Ayora,EC,2023-01-19 22:02:37,-0.7393,-90.3518,78.55,89,61,5.99
68,Masvingo,ZW,2023-01-19 22:04:35,-20.0637,30.8277,68.36,75,90,4.72
69,Carnarvon,AU,2023-01-19 22:04:35,-24.8667,113.6333,74.79,81,0,6.24
70,North Bend,US,2023-01-19 22:04:36,43.4065,-124.2243,51.24,88,20,3.44
71,Road Town,VG,2023-01-19 22:04:36,18.4167,-64.6167,78.89,83,40,4.61
72,Bluff,NZ,2023-01-19 22:04:37,-46.6,168.3333,58.93,84,91,19.82
73,Stratonion,GR,2023-01-19 22:04:37,40.5141,23.8247,62.22,82,100,18.92
74,Flinders,AU,2023-01-19 22:04:38,-34.5833,150.8552,66.18,81,99,5.99
75,Saint-Augustin,CA,2023-01-19 22:04:38,51.226,-58.6502,25.81,70,100,19.82
76,Saint-Philippe,RE,2023-01-19 22:04:39,-21.3585,55.7679,76.59,93,100,13.33
77,Hilo,US,2023-01-19 22:04:16,19.7297,-155.09,80.33,73,75,11.5
78,Zhigansk,RU,2023-01-19 22:04:40,66.7697,123.3711,-52.28,100,59,3.74
79,Sokoni,TZ,2023-01-19 22:04:40,-6.4333,39.55,81.1,79,100,9.95
80,Hambantota,LK,2023-01-19 22:04:41,6.1241,81.1185,66.54,94,20,5.75
81,Magistralnyy,RU,2023-01-19 22:04:41,56.1725,107.4458,-22.32,99,100,2.46
82,Luderitz,NA,2023-01-19 22:04:42,-26.6481,15.1594,66.2,78,3,16.06
83,Chokurdakh,RU,2023-01-19 21:59:46,70.6333,147.9167,-35.45,99,51,5.82
84,Zolochiv,UA,2023-01-19 22:04:42,49.806,24.8944,37.54,89,100,9.26
85,Khatanga,RU,2023-01-19 22:04:43,71.9667,102.5,-42.18,96,9,4.61
86,Vaini,TO,2023-01-19 22:04:43,-21.2,-175.2,86.16,79,40,13.8
87,Siavonga,ZM,2023-01-19 22:04:44,-16.5382,28.7088,73.13,90,100,5.32
88,Upernavik,GL,2023-01-19 22:04:44,72.7868,-56.1549,-11.81,97,100,8.52
89,Komsomolskiy,UZ,2023-01-19 22:04:45,40.4272,71.7189,20.12,79,3,6.91
90,Chuy,UY,2023-01-19 22:04:45,-33.6971,-53.4616,74.32,66,81,12.59
